playerId,position,season,team,league,gamesPlayed,goals,assists,points,pim,plusMinus,avgToi,faceoffPct,gameWinningGoals,otGoals,powerPlayGoals,powerPlayPoints,shGoals,shPoints,shots
8480426,D,2025-2026,Tampa Bay Lightning,NHL,69,6,23,29,110,-3,1124,0.0,2,0,0,2,0,0,77
8475167,D,2025-2026,Tampa Bay Lightning,NHL,33,1,16,17,10,-1,1132,0.0,0,0,0,6,0,0,50
8482929,D,2025-2026,Tampa Bay Lightning,NHL,49,4,7,11,57,14,1040,0.0,2,0,0,0,0,0,42
8474151,D,2025-2026,Tampa Bay Lightning,NHL,48,6,15,21,6,14,1155,0.0,0,0,0,0,0,0,39
8482655,D,2025-2026,Tampa Bay Lightning,NHL,79,7,22,29,69,41,1294,0.0,0,0,0,1,0,2,111
8478178,D,2025-2026,Tampa Bay Lightning,NHL,72,22,48,70,72,22,1365,0.0,6,1,10,26,0,0,207
8477463,D,2025-2026,Tampa Bay Lightning,NHL,11,0,1,1,2,1,628,0.0,0,0,0,0,0,0,3
8476981,R,2025-2026,Montréal Canadiens,NHL,72,14,9,23,90,-4,841,0.69697,1,0,0,0,2,4,89
8482737,R,2025-2026,Montréal Canadiens,NHL,78,12,18,30,28,-6,818,0.5,3,0,3,6,0,0,101
8481540,R,2025-2026,Montréal Canadiens,NHL,81,51,37,88,14,29,1091,0.333333,12,5,11,29,0,0,258
8481523,C,2025-2026,Montréal Canadiens,NHL,37,8,7,15,31,-2,819,0.413793,0,0,0,2,0,0,47
8476479,C,2025-2026,Los Angeles Kings,NHL,30,0,5,5,6,3,979,0.528986,0,0,0,0,0,1,42
8476479,C,2025-2026,Montréal Canadiens,NHL,45,6,6,12,20,-6,904,0.561525,1,0,0,0,1,1,49
8484984,R,2025-2026,Montréal Canadiens,NHL,82,19,43,62,34,3,930,0.0,4,0,7,20,0,0,127
8478133,C,2025-2026,Montréal Canadiens,NHL,68,12,12,24,28,-8,921,0.55858,2,1,0,0,2,2,75
8475848,R,2025-2026,Montréal Canadiens,NHL,77,7,16,23,39,0,741,0.6,0,0,2,5,0,0,121
8482775,C,2025-2026,Montréal Canadiens,NHL,82,22,15,37,22,4,868,0.455357,2,0,1,1,1,3,131
8479339,R,2025-2026,Montréal Canadiens,NHL,5,0,1,1,2,-3,756,0.666667,0,0,0,0,0,0,6
8481618,C,2025-2026,Montréal Canadiens,NHL,42,13,12,25,10,9,869,0.475472,2,1,2,3,0,0,61
8483515,L,2025-2026,Montréal Canadiens,NHL,82,30,43,73,52,9,1112,0.327869,4,0,15,28,0,0,180
8480018,C,2025-2026,Montréal Canadiens,NHL,82,29,72,101,28,37,1249,0.504486,2,1,11,43,1,1,183
8480074,L,2025-2026,St. Louis Blues,NHL,8,0,1,1,2,0,615,1.0,0,0,0,0,0,0,7
8480074,L,2025-2026,Montréal Canadiens,NHL,43,8,12,20,24,9,857,0.133333,1,0,0,1,0,0,67
8480813,C,2025-2026,Montréal Canadiens,NHL,61,2,3,5,19,-12,725,0.515823,1,0,0,0,0,0,52
8478851,D,2025-2026,Montréal Canadiens,NHL,73,7,15,22,34,2,1145,0.0,0,0,0,0,0,0,56
8480865,D,2025-2026,Montréal Canadiens,NHL,80,12,35,47,34,5,1349,0.0,1,0,2,7,0,1,158
8483686,D,2025-2026,Montréal Canadiens,NHL,15,0,1,1,8,2,783,0.0,0,0,0,0,0,0,11
8482087,D,2025-2026,Montréal Canadiens,NHL,39,2,9,11,41,5,1168,0.0,2,0,0,0,0,0,40
8483457,D,2025-2026,Montréal Canadiens,NHL,82,12,66,78,34,36,1426,0.0,3,1,2,20,0,0,124
8476875,D,2025-2026,Montréal Canadiens,NHL,78,7,30,37,34,9,1450,0.0,3,1,0,1,1,2,114
8484220,D,2025-2026,Montréal Canadiens,NHL,2,0,1,1,0,0,789,0.0,0,0,0,0,0,0,3
8481593,D,2025-2026,Montréal Canadiens,NHL,59,2,10,12,58,4,841,0.0,0,0,0,0,0,0,26
8482964,D,2025-2026,Montréal Canadiens,NHL,65,1,3,4,116,-8,685,0.0,0,0,0,0,0,0,40
8481557,L,2025-2026,Minnesota Wild,NHL,76,42,43,85,30,18,1234,0.443548,3,1,11,30,4,4,254
8481553,R,2025-2026,Philadelphia Flyers,NHL,55,13,13,26,20,-5,929,0.302326,3,0,3,6,0,0,90
8481553,R,2025-2026,Minnesota Wild,NHL,13,2,2,4,4,-2,825,0.714286,0,0,0,1,0,0,14
8478493,C,2025-2026,Minnesota Wild,NHL,70,19,32,51,32,16,1145,0.489928,3,0,7,16,0,0,194
8477952,C,2025-2026,St. Louis Blues,NHL,15,1,3,4,12,-3,756,0.666667,0,0,0,0,0,0,17
8477952,C,2025-2026,Minnesota Wild,NHL,6,1,0,1,4,-1,591,0.333333,1,0,0,0,0,0,13
8475220,L,2025-2026,Minnesota Wild,NHL,56,8,5,13,67,-12,771,0.45,0,0,2,2,0,0,65
8473422,L,2025-2026,Chicago Blackhawks,NHL,37,3,8,11,27,2,768,0.493902,0,0,0,2,0,1,30
8473422,L,2025-2026,Minnesota Wild,NHL,17,1,3,4,17,0,739,0.494118,0,0,0,0,0,1,19
8477451,R,2025-2026,Minnesota Wild,NHL,76,23,20,43,48,-1,1005,0.453456,4,0,6,7,0,0,167
8475149,L,2025-2026,Minnesota Wild,NHL,75,15,34,49,12,18,925,0.375,4,1,3,9,0,1,106
8478864,L,2025-2026,Minnesota Wild,NHL,78,45,44,89,28,10,1329,0.0,7,4,19,32,0,0,269
8477446,C,2025-2026,Nashville Predators,NHL,59,5,7,12,73,-15,870,0.527744,0,0,0,0,1,1,86
8477446,C,2025-2026,Minnesota Wild,NHL,20,3,2,5,20,-1,760,0.513661,1,0,0,0,1,1,23
8481477,C,2025-2026,Minnesota Wild,NHL,49,5,6,11,16,0,657,0.551075,0,0,0,0,1,1,37
8475765,R,2025-2026,Minnesota Wild,NHL,75,23,24,47,10,-11,896,0.461538,4,1,5,13,0,0,148
8478508,C,2025-2026,Minnesota Wild,NHL,82,6,17,23,38,13,797,0.383333,1,0,0,0,0,0,98
8483525,R,2025-2026,Minnesota Wild,NHL,73,12,15,27,28,-7,798,0.392183,2,0,1,3,0,0,80
8475692,R,2025-2026,Minnesota Wild,NHL,59,15,39,54,20,-5,1119,0.45,5,3,6,21,0,0,122
8474567,D,2025-2026,Minnesota Wild,NHL,41,2,4,6,18,8,873,0.0,0,0,0,0,0,0,30
8476463,D,2025-2026,Minnesota Wild,NHL,62,4,14,18,16,19,1217,0.0,1,0,0,1,0,0,76
8482122,D,2025-2026,Minnesota Wild,NHL,80,15,36,51,39,18,1481,0.0,1,0,1,11,1,2,173
8486166,D,2025-2026,Minnesota Wild,NHL,2,0,0,0,0,1,1278,0.0,0,0,0,0,0,0,0
8480800,D,2025-2026,Vancouver Canucks,NHL,26,2,21,23,12,-10,1646,0.0,0,0,2,12,0,0,74
8480800,D,2025-2026,Minnesota Wild,NHL,48,5,48,53,20,6,1674,0.0,1,0,0,22,0,0,113
8482094,D,2025-2026,Minnesota Wild,NHL,32,0,6,6,6,-3,746,0.0,0,0,0,0,0,0,19
8482641,D,2025-2026,Minnesota Wild,NHL,6,0,1,1,0,0,944,0.0,0,0,0,0,0,1,4
8478136,D,2025-2026,Minnesota Wild,NHL,75,2,14,16,76,2,1050,0.0,0,0,0,0,0,0,62
8473507,D,2025-2026,Florida Panthers,NHL,58,0,8,8,22,-10,891,0.0,0,0,0,2,0,0,45
8473507,D,2025-2026,Minnesota Wild,NHL,9,0,1,1,2,-5,850,0.0,0,0,0,0,0,0,9
8474716,D,2025-2026,Minnesota Wild,NHL,79,6,16,22,14,2,1176,0.0,2,1,2,6,0,0,90
8478042,L,2025-2026,Boston Bruins,NHL,69,25,29,54,24,20,876,0.5,6,0,4,9,0,0,175
8479591,C,2025-2026,Boston Bruins,NHL,56,8,10,18,31,-3,655,0.5,1,0,1,4,0,0,109
8479987,C,2025-2026,Boston Bruins,NHL,81,39,29,68,22,-5,1044,0.45625,6,1,12,24,0,0,181
8485395,C,2025-2026,Boston Bruins,NHL,2,0,1,1,2,1,873,1.0,0,0,0,0,0,0,2
8479661,L,2025-2026,Boston Bruins,NHL,77,6,16,22,66,-4,759,0.444444,1,0,0,1,0,0,78
8480355,C,2025-2026,Boston Bruins,NHL,82,12,10,22,140,6,757,0.608156,4,0,0,1,1,1,100
8482177,C,2025-2026,Boston Bruins,NHL,77,15,18,33,16,12,870,0.466667,1,1,0,1,0,0,78
8476374,C,2025-2026,Boston Bruins,NHL,82,6,16,22,41,0,800,0.510574,1,0,0,0,0,0,110
8477496,C,2025-2026,Boston Bruins,NHL,69,17,31,48,38,-7,1073,0.560748,3,0,7,20,0,0,114
8483489,C,2025-2026,Boston Bruins,NHL,82,17,18,35,20,21,933,0.493445,2,2,1,3,0,1,116
8479999,C,2025-2026,Boston Bruins,NHL,71,15,27,42,12,12,910,0.489247,2,0,2,7,0,0,80
8477956,R,2025-2026,Boston Bruins,NHL,77,29,71,100,72,4,1239,0.222222,4,1,10,33,0,0,261
8482634,C,2025-2026,Boston Bruins,NHL,43,9,7,16,34,6,716,0.428571,0,0,1,3,1,1,55
8478401,C,2025-2026,Boston Bruins,NHL,78,30,35,65,28,4,1011,0.533062,4,2,11,22,0,0,131
8481219,D,2025-2026,Boston Bruins,NHL,61,3,10,13,43,30,1004,0.0,0,0,0,1,0,0,47
8480887,D,2025-2026,Boston Bruins,NHL,8,1,2,3,0,0,954,0.0,0,0,0,0,0,0,12
8480035,D,2025-2026,Boston Bruins,NHL,41,2,13,15,14,2,1068,0.0,1,0,0,2,0,0,40
8476854,D,2025-2026,Boston Bruins,NHL,67,5,21,26,58,3,1297,0.0,2,0,1,4,0,0,100
8482511,D,2025-2026,Boston Bruins,NHL,73,7,19,26,20,17,1014,0.0,0,0,2,5,0,0,72
8479325,D,2025-2026,Boston Bruins,NHL,69,11,50,61,62,13,1463,0.0,1,1,2,23,0,0,111
8479369,D,2025-2026,Boston Bruins,NHL,77,5,9,14,22,-12,1163,0.0,0,0,0,0,0,0,82
8477507,D,2025-2026,Boston Bruins,NHL,81,2,20,22,152,18,1253,0.0,1,0,0,0,0,0,107
8478569,C,2025-2026,Pittsburgh Penguins,NHL,67,13,12,25,25,14,822,0.520202,1,0,0,0,0,0,93
8479638,R,2025-2026,Pittsburgh Penguins,NHL,64,17,17,34,14,5,759,0.0,4,0,3,5,0,0,104
8482475,R,2025-2026,Columbus Blue Jackets,NHL,29,3,3,6,6,-6,618,0.0,0,0,0,0,0,0,36
8482475,R,2025-2026,Pittsburgh Penguins,NHL,43,18,18,36,4,4,937,0.333333,4,0,2,6,0,0,104
8471675,C,2025-2026,Pittsburgh Penguins,NHL,68,29,45,74,44,0,1154,0.551749,4,1,10,23,0,0,160
8480980,C,2025-2026,Pittsburgh Penguins,NHL,78,14,16,30,19,16,835,0.474138,2,0,0,0,1,2,110
8480842,C,2025-2026,Pittsburgh Penguins,NHL,13,1,3,4,2,4,789,0.0,1,0,0,0,1,1,22
8475763,R,2025-2026,Pittsburgh Penguins,NHL,28,4,4,8,8,-1,748,0.402878,1,0,0,0,0,0,45
8485414,C,2025-2026,Pittsburgh Penguins,NHL,77,17,18,35,18,-5,904,0.436055,4,0,4,10,1,2,151
8482758,R,2025-2026,Pittsburgh Penguins,NHL,39,2,5,7,10,-10,764,1.0,0,0,1,4,0,0,36
8481481,C,2025-2026,Pittsburgh Penguins,NHL,55,7,12,19,25,6,832,0.5,1,0,0,0,1,1,49
8471215,C,2025-2026,Pittsburgh Penguins,NHL,56,19,42,61,61,13,1056,0.444898,3,0,4,22,0,0,148
8477511,R,2025-2026,Pittsburgh Penguins,NHL,81,33,31,64,43,10,911,0.304348,2,0,7,13,0,0,152
8478438,C,2025-2026,Pittsburgh Penguins,NHL,82,16,26,42,24,1,857,0.428571,2,1,5,7,0,0,130
8476483,R,2025-2026,Pittsburgh Penguins,NHL,60,24,24,48,8,-2,1137,0.36,1,0,7,16,1,2,166
8475810,R,2025-2026,Pittsburgh Penguins,NHL,72,29,36,65,26,0,1197,0.133333,4,0,8,24,1,2,183
8481725,L,2025-2026,Detroit Red Wings,NHL,39,2,1,3,12,-4,641,0.333333,1,0,0,0,0,0,42
